REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Wisconsin,2013,51,1.31054,46,32,3510
States,Wyoming,2013,51,1.08108,54,23,4995
States,Puerto Rico,2013,51,4.10959,27,1,657
States,Virgin Islands,2013,51,3.18841,11,1,345
States,New York City,2013,51,2.87206,2679,73,93278
States,Alabama,2013,52,7.46047,755,28,10120
States,Alaska,2013,52,5.30883,104,8,1959
States,Arizona,2013,52,1.90977,381,62,19950
States,Arkansas,2013,52,7.82313,161,17,2058
States,California,2013,52,5.10491,1107,130,21685
States,Colorado,2013,52,2.89192,468,11,16183
States,Connecticut,2013,52,1.43035,23,18,1608
States,Delaware,2013,52,3.23232,32,5,990
States,District of Columbia,2013,52,13.7076,105,3,766
States,Florida,2013,52,X,X,X,X
States,Georgia,2013,52,5.37386,1165,40,21679
States,Hawaii,2013,52,2.06044,15,15,728
States,Idaho,2013,52,6.89223,165,10,2394
States,Illinois,2013,52,4.50831,1920,102,42588
States,Indiana,2013,52,5.72125,305,39,5331
States,Iowa,2013,52,0.4914,104,21,21164
States,Kansas,2013,52,5.97403,276,34,4620
States,Kentucky,2013,52,1.56378,229,16,14644
States,Louisiana,2013,52,8.66634,3034,59,35009
States,Maine,2013,52,1.11067,28,31,2521
States,Maryland,2013,52,2.89608,153,22,5283
States,Massachusetts,2013,52,1.87773,340,58,18107
States,Michigan,2013,52,3.35632,292,52,8700
States,Minnesota,2013,52,3.51852,95,17,2700
States,Mississippi,2013,52,7.97735,1141,39,14303
States,Missouri,2013,52,6.69931,342,23,5105
States,Montana,2013,52,4.81586,34,6,706
States,Nebraska,2013,52,1.56863,24,15,1530
States,Nevada,2013,52,4.12023,658,43,15970
States,New Hampshire,2013,52,0.512164,12,27,2343
States,New Jersey,2013,52,2.32845,189,27,8117
States,New Mexico,2013,52,5.3554,440,27,8216
States,New York,2013,52,2.99457,259,152,8649
States,North Carolina,2013,52,4.54545,300,51,6600
States,North Dakota,2013,52,3.81992,56,11,1466
States,Ohio,2013,52,1.90456,182,48,9556
States,Oklahoma,2013,52,7.26619,202,20,2780
States,Oregon,2013,52,4.26703,62,18,1453
States,Pennsylvania,2013,52,3.10234,231,45,7446
States,Rhode Island,2013,52,0.41841,12,20,2868
